"","cost_istarget","cost_looksliketarget","cost_nottarget","cost_iscompetitor","cost_notcompetitor","cost_lookslikecompetitor","alpha"
"1",1.35388330481797,3.48061645723821,1.82479476502626,3.36682619280991,2.85014945815359,4.0363422375616,2.5917
"2",1.44971527231159,3.58375553952029,1.82479476502626,3.36682619280991,2.82948189586081,4.08243297509354,2.5813
"3",1.3707127944324,3.46932728022512,1.87126225565526,3.31153298423434,2.84739468969737,3.98845593678167,2.8815
"4",1.27986189414269,3.46932728022512,1.65152679905552,3.28405087277546,2.81798091947558,3.97128044567074,2.8815
"5",1.32986842952173,3.46932728022512,1.49782256765511,3.27413948022477,2.73086835692639,4.07303214516974,1.8068
"6",1.25085505223921,3.46932728022512,1.57221305203581,3.23509265340849,2.65329956294234,3.98804913123294,0.7325
"7",1.15163607933177,3.46932728022512,1.57221305203581,3.35342247328193,2.65329956294234,4.32673979367732,1.4599
"8",1.11402625842035,3.5308786235045,1.74622548192352,3.44701054255039,2.56593741731828,4.32673979367732,2.0604
"9",1.07957512569348,3.5230846290455,1.74622548192352,3.4640130282612,2.49844726568378,4.41514633255997,2.0604
"10",1.07957512569348,3.5230846290455,1.73745405948691,3.39487983930863,2.60514933758123,4.41624818654782,1.4698
"11",1.07957512569348,3.5230846290455,1.60881263233633,3.33075465628841,2.57819109249011,4.41624818654782,1.1853
"12",1.10087216343569,3.5230846290455,1.83167145045035,3.26583021772648,2.45628618063259,4.47781760071697,1.1853
"13",1.01273631271644,3.37629775642403,1.6686569025702,3.19017606741229,2.36021353117028,4.43475628330221,1.1853
"14",1.01273631271644,3.37629775642403,1.67980021313887,3.23592803487747,2.16694254060665,4.39143667229233,1.0908
"15",1.11041398984379,3.45345217479658,1.8220829284191,3.33427438711514,2.0876744769896,4.39143667229233,0.1073
"16",1.37573472980859,3.45345217479658,1.75997101142241,3.40902673038759,2.2058265995184,4.39143667229233,1.8389
"17",1.37573472980859,3.36656597605037,1.75642817548949,3.40902673038759,2.1781589591361,4.43976679354892,1.3504
"18",1.46331106253533,3.36656597605037,1.71915784722402,3.31635736486522,2.23622444639732,4.39182696225222,1.8508
"19",1.41890794418116,3.36700665489468,1.72987311581459,3.30523225795914,2.17922175913223,4.39182696225222,2.4494
"20",1.39978052146686,3.31354907404709,1.81413075280341,3.44695598394273,2.08944226562039,4.34287768222067,2.807
"21",1.3353550103226,3.25293244089712,1.86571112434842,3.44695598394273,1.99186836412197,4.2664469554832,3.5294
"22",1.25027845424225,3.23879321678335,1.85563010132226,3.5400140311955,1.9390149544092,4.19200434600142,2.4811
"23",1.25027845424225,3.24558965430779,1.92154569073911,3.5400140311955,1.89083287367391,4.30413434939659,2.6722
"24",1.30670337284978,3.21204927680012,1.92154569073911,3.46641090542577,1.89187982324617,4.20503158125186,1.2946
"25",1.53065310371633,3.23996588127366,1.92154569073911,3.49441630657819,1.97132415643972,4.26715448174774,1.9415
"26",1.63820124970553,3.25382756043757,1.92154569073911,3.63446996622786,1.92921036773817,4.2203623302172,1.9415
"27",1.70943409334697,3.154792264785,1.90704696698068,3.70063402287613,1.92921036773817,4.32164229050609,1.5322
"28",1.67909639521443,3.20818479584584,1.90704696698068,3.7689771554579,1.91421265431956,4.37918369441587,2.5216
"29",1.60118124968043,3.11533134235028,2.04424517740001,3.67405573563422,2.09040573870938,4.34762424040795,2.7698
"30",1.6965349855209,3.02354889700804,2.0927562783117,3.67405573563422,1.92242431038265,4.44613620751121,1.7148
"31",1.6965349855209,2.98389221664722,2.2292245301428,3.67405573563422,1.82344374857067,4.53262565970147,0.9884
"32",1.66359563619868,3.03465478574047,2.15166536983169,3.67405573563422,1.93570033343581,4.44722417199724,2.94
